,PC1,PC2,Magnitud_PC1,Magnitud_PC2
gross_revenue_usd,0.5635239980024607,0.30734255046923487,0.5635239980024607,0.30734255046923487
n_orders,0.5061313452940427,-0.3110003942069405,0.5061313452940427,0.3110003942069405
avg_order_value_usd,0.422736390251172,0.6486770825700628,0.422736390251172,0.6486770825700628
n_sessions,0.37201004651461733,-0.5204593492567727,0.37201004651461733,0.5204593492567727
n_reviews,0.33028027334705345,-0.2864912433718064,0.33028027334705345,0.2864912433718064
age,0.009443287222274423,-0.18730239524650724,0.009443287222274423,0.18730239524650724
